量子关联:Quantum correlation
军用气象卫星:military meteorological satellite
通信网络:communications network
基础设施即服务:Infrastructure as a Service
精密运动控制:recision motion control
临近空间飞行器:near space vehicle
虚拟现实:virtual reality
文字识别:text recognition
数字、模拟、射频和混合信号电路及系统:Digital, Analog, RF, and Mixed Signal Circuits Systems
涡轮-冲压-火箭组合循环发动机:Turbo-Ramjet-Rocket Combined Cycle engine
目标监视预警:target surveillance and alert
光电探测:photoelectric detection
神经网络:neural networks
石墨烯防护材料:graphene protective materials
涂镀层技术:coating; painting
涡轮火箭冲压发动机:air-turbo-ramjet(rocket) engine
人机协同:Human-machine collaboration
察打一体无人机:reconnaissance andstrike integrated UAV
脑机接口:Brain machine interface
髙能微波:high power microwave
无人机系统:Military UAV
金属基复合材料:metal matrix composites
高超声速飞机:supersonic plane
咼温隔热材料:thermal insulating inatoridls
储氢:hydrogen storage
无人机:UAV
光固化:Stereo lithography Appearance.SLA
红外多光谱段扫描仪:IRMSS
量子导航:quantum navigation
自主系统:autonomous systems
自修复材料:Self-healing material
智能水下机器人:AUV
表面工程:surface engineering
分布式智能:distributed intelligence
精密成形:precision forming
光电技术:photoelectric technology
增才制造:additive manufacturing
空间机器人:Space robotic
数据建模:data modeling
自适应材料:adaptive materials
多光谱CCD相机:multispectral CCD camera
高超声速武器:Hypersonic weapons
选择性激光烧结:Selective laser sintering,SLS
群体智能:group intelligence
石墨烯制备:graphene preparation
旋压成形:Spinning : flow forming
机器学习:Machine learning
光电传感:photoelectricity sensing
迁移学习:transfer learning
4D 打印材料:4D printing material
高温合金:super alloy
表面改性:surface modification
增才制造:4D printing
固相焊:Solid State Welding
离散事件系统:discrete event systen
常规快速全球打击:CPGS
载人航天器:manned spacecraft
舆情控制:Media monitoring
自适应发动机:adaptive engine
微纳电子技术:micronanoelectronic technology
液体激光器:fluid state laser； liquid laser
树脂基复合材料:resin matrix composite
空天飞机:aerospace plane
高空长航时无人机:high-altitude long-endurance UAV
作战火力:OpFires
超精密加工:ultra-precision machining
卫星通信:satellite communications
隐身材料:Stealth Materials
增才制造:3D printing
先进整体推进系统:advanced integrated propulsion system
仿生功能材料:bionics functional materi.ds
临近空间飞艇:near space airship
量子隐态传输:quantum teleportation
计算机视觉:computer vision
高温合金:high temperature alloy
云存储:cloud storage
电子束熔融:Electron beam melting EBM
机器学习:machine learning
Ka波段转发器:Ka band transponder
动能武器:kinetic energy weapon
Hi复使用运载火箭:reuse launch vehicle
可穿戴设备:wearable device
智能工厂:Intelligent Plant
量子比特:qubit
碳碳复合材料:carbon-carbon composite
反隐身雷达:anti-stealth radar
反介入:anti-accesss A2
空间平台:Space Bus
空间载荷:Space Payload
可编程材料:Programmable material
高能粒子束:high energy particle beam weapon
高能朿流焊接:High Energy Density Beam Welding
集成电路:integrated circuit
蜂群:Swann
生物燃料提炼:biofuel refine
微机电系统:micro-electro-mechanical systems
核火箭发动机:nuclear rocket engine
增强药剂:Enhance drugs
导航卫星:navigation satellite
语音识别:speech recognition
大数据:big data
多光谱扫描仪:multispectral scanner（MSS）
非线性系统:nonlinear system
察打一体无人机:Integrated Reconnaissance lnterception UAV
地面平台:ground platform
战术通信:Tactical Communications
量子计算机:quantum computer
群体智能:Group intelligence
微波武器:microwave weapon
光电能量转换:photovoltaic energy conversion
蜂群战术:Swann Tactics
精密加工:Precision machining
固体激光器:solid laser； solid-state laser
LRASM 导弹:LRASM; AGM-158B
云安全:cloud security
形状记忆合金:shape memory alloy
粒子加速器:particle accelerator
脑机接口:brain machine interface
货运飞船:cargo spacecraft
网络态势感知:Cyber Situation Awareness
跨大气层飞行器:trans-atmospheric vehicle
进化算法:evolutionary algorithm
精密锻造:precision forging
网络防御:Cyber Defence
先进焊接:advanced welding
光伏太阳能:Solar energy
宽禁带半导体:wide band semiconductor
微型卫星:microsatellite
反髙超:anti-Hypersonic
超材料:meta materials
无线通信:Wireless Communications
X波段转发器:X band transponder
网络战:Cyber warfare
存储器:memorizer
印度导航星座:NAVIC IRNSS
智能云:Smart Cloud
萨德高超声声防御:THAAD
波浪能发电:wave power generation
网络空间:cyberspace
通信卫星:communications satellite
智能材料:intelligent material
氢氧火箭发动机:hydrogen oxygen rocket engine
仿生结构材料:bionic structural materials
碳碳复合材料:C-C composite
电子束直接制造:Electron Beam Direct Manufacturing,EBDM
仿生学:bionic
太阳能电池阵结构:solar array
知识表示:Knowledge representation
MHTK微型直接碰撞杀伤拦截弹:MHTK
网络攻击:Cyber Attack
JASSM-ER 导弹:JASSM-ER
自主地面车辆:unmanned vehicles
能址密度:energy density
新型裂变反应堆:fission reactor
精确制导炸弹:precision guided bombs
脉冲式火箭发动机:pulse rocket engine
海洋监视卫星:ocean surveillance satellite
低轨卫星星座:LEO satellite Constellation
增材制造技术:Additive Manufacturing
预警卫星:early warning satellite
超高速炮弹:hypervelocity guns HVP HGWS
网络战:Cyber Warfare
天空卫星:skysat
数据分析:data analysis
石墨烯:graphene
侦察卫星:reconnaissance satellite
量子通信:quantum communication
火箭基组合循环发动机:Rocket Based Combined Cycle engine (RBCC)
时滞系统:time-delay system
深度学习:deep learning DL
可见光隐身超材料:visible light stealth meta materials
电解水制氢:eleotrolysing water
超高速炮弹:super-speed guided cartridge
可穿戴设备:Wearable device
运载:Launch Vehicle
搅拌烽擦焊:friction stir welding FSW
侦察弹:Reconnaissance Munitions
微细加工:micro machining
红外隐身超材料:infrared stealth meta materials
硅通孔:Through Silicon Via
无人水下机器人:UUV
模式识别:pattern recognition
4D打印:4D printing
化学激光器:chemical laser
工业机器人:industrial robot
隐身战机(飞机):stealthfighter(aircraft)
嵌入式智能控制:embedded inellignet control
智能作战服:Smart combat uniforms
知识表示:knowledge representation
光伏太阳能:photo voltaic
量子尺寸效应器件:quantum size effect devices
石墨烯增强金属复合材料:graphene enhanced metal composite
单片微波集成电路:Monolithic microwave mm-wave integrated circuits
伽利略导航卫星系统:GALILEO
电磁频谱战:Electromagnetic spectrum warfare
绿色电镀:Green Electroplating
量子密钥分发:quantum key distribution QKD
混合系统:hybrid system
蜂群无人机系统:swarming drones
多光谱遥感器:multispectral remote sensor
机器人:robot
片上系统:system on chip
量子精密测量:quantum precision measurement
未来i战士:future fighter(warrior) terminator
发动机:engine
自主无人系统:Autonomous unmanned system
选择性激光熔融:selective laser melting SLM
无人系统:unmanned
光解水制氢:Photocatalytic Water Splitting
电磁轨道炮:electromagnetic rail-gun
精密铸造:precision casting
等离子喷涂:plasma spraying
区域拒止:area denial AD
光电集成:photoelectricity integration
生物质能:biomass energy
雷达成像卫星:radar imaging satellite
锂电池:Lithium Batteries
全球定位系统:GPS
巡飞弹:Loitering Attack Missile
仿生结构材料:biomimetic structural materials
分布式作战:Distributed Operations
高分辨率可见光遥感器:HRV
生物控制:biological control
航空平台:aerial craft
小精灵无人机:Gremlins
量子自旋:quantum spin
智能水面无人艇:USV
专家系统:expert system
生物材料:biomaterials
载人飞船:manned spacecraft
近程防空反导系统:M-shorad
非热效应:athermal effect； non-thermal effects
量子成像:quantum Imaging
图像识别:image identigicator
网络支援:Cyber Support
热效应:heat effect； heating effect
生物信息学:bioinformatics
智慧城市:Smart City
带电粒子束:charged-particle beam
海洋温差能发电:ocean thermal energy generation
先进涡扇发动机:advanced turbofan engine
增强现实:augmented reality
跨域协同:Cross-domain collaboration
武库机:Arsenal Plane
先进多管火箭:advanced multiple launch rocket
登陆作战:Landing operations
无人机系统编队作战:Combat of Unmanned Aerial Vehicle Hybrid Formation
海藻生物燃料:alga-derived biofuel
非致命性激光武器:non-lethal weapon
平台即服务:Platform as a Service
液态金属电池:Liquid Metal Battery
超燃冲压发动机:supersonic combustion ramjet (SCRJ)
转换效率:conversion efficiency
战术无人地面车辆:tactical unmanned ground vehicle
集成微系统技术:integrated microsystem technology
储能技术:energy storage
量子雷达:quantum radar
空射快速响应武器:ARRW
计算机视觉:Computer vision
量子纠缠:quantum entanglement
高能激光武器:high energy laser weapon
核燃料循环:nuclear fuel cycle
电磁炮:electromagnetic gun
太阳能火箭发动机:solar thermal rocket engine
天然纤维树脂展复合材料:natural fibre resin matrix composile
系统级封装:system in package
航天飞机:space shuttle, space plane
异构集成:heterogeneous integration
战术通信卫星:tactical communication satellite
电子侦察卫星:electronic reconnaissance satellite
导弹:Tomahawk
液氧煤油火箭发动机:liquid oxygen kerosene rocket engine
数据挖掘:data mining
虚拟现实:Virtual Reality
上面级:upper stage
自主地面车辆:autonomous vehicle
微生物燃料电池:Microbial fuel cell
武器:weapon
纳米加工:nano-machining
微波辐射:microwave radiation
军用微纳卫星:military nano-satellite
智能制造:inte川gent manufacturing
熔融堆枳成形:fused deposition modeling,FDM
群体智能:Swarm intelligence
高超声速常规打击武器:HCSW
复杂系统:complex system
海洋能:ocean energy
纳米涂层技术:nano coating
强化学习:reinforcement learning RL
光电转换:photoelectric conversion
热管理及测量:Thermal Management and Measurement
高空驻留气球:high altitude ballon
早期预警雷达:The early warning radar EWR
量子点:quantum dot
反恐袭:anti-Terrorist
脉冲爆震发动机:pulse detonation engine
全球导航卫星系:GLONASS
无人地面平台:unmanned ground platform
电火箭发动机:electric rocket engine
中性粒子束:neutral particle beam
模式识别:Pattern recognition
量子卫星:quantum satellite
先进涡轮发动机:advanced turbine engine
军用微纳卫星:military micro-satelliete；
信息安全:information security
微纳机电系统:NEMS
联合防区外武器C-l滑翔制导炸弹:JSOW C-1
照相侦察卫星:photo reconnaissance satellite
软件即服务:Software as a Service
装甲材料:armor materials
增强现实:Augmented Reality
人效增强:human performance modification
直接金属沉枳:direct metal deposition DMD
石墨烯电磁屏蔽材料:graphene electromagnetic shielding materials
工业物联网:Industrial Internet of Things
粒子束武器:particle beam weapon
外骨骼:Exoskclctons
光子火箭发动机:photon rocket engine
增材制造技术:3D printing
纳机电系统:nano-electro-mechanical systems
低温推进剂火箭发动机:cryogenic propellant rocket engine
硅光子学:silicon photonics
柔性薄膜太阳电池:Flexible thin-film solar cell
战斧:Block IV
虚拟现实:virtual reality VR
固话通信:Fixed Telecommunications
EMAM扩展任务导弹:EMAM
防区外打击武器:stand-off missile weapon systems
佩刀发动机:Synergetic Air-Breathing Rocket Engine (SABRE)
人工肌肉致动器:artificial muscle actuator
智能小型核弹:intelligent small nuclear bombs
(智能)作战机器人:(intelligent) combat platform
反舰武器系统:anti-ship weapon system
机器人焊:robotic arc welding welding robot
三维电子系统集成与封装:3D electronics systems integration and packaging
模式识别:pattern re cognition
复合材料制造:Composite material manufacturing
核能:nuclear energy
军事通信卫星:military communication satellite
冷喷涂:cold spraying
电子带隙结构:Electronic Band Gap Structures
多代理系统:multi-agent system
耐腐蚀钢材料:Corrosion resistant steel material
高超声速导弹:hypersonic missile
通信安全:communications security
核聚变反应堆:nuclear fusion reactor
空间站:space station
制导炮弹:guided cartridge
微处理器:microprocessor
石墨烯增强多功能复合材料:graphene enhanced multifunctional composite
激光武器:laser weapon
电磁隐身超材料:electromagnetic stealth meta materials
智能传感器:mart sensor
宽禁帯半导体材料:wide bandgap semiconductor material
多域战:multi-domain battle warfar
分布式智能:Distiibuted intelligence
无人机防御系统:anti low-slow-small target anti-UAV anti-MAV
空屮发射运载火箭:air-launched launch vehicle
氢能:hydrogen energy
微型飞行器:miniature aircraft
山鹑无人机:Perdix
战术助推滑翔:TBG
微纳机电系统:MEMS
机器学习:machine learning ML
智能机器人系统:smart robot
准天顶卫星系统:QZSS
涡轮基组合循环发动机:Turbine Based Combined Cycle engine (TBCC)
反蜂群:anti-swarm
陶瓷基复介材料:ceramic matrix composite
智能机器人系统:intelligent robot system
燃料电池:fuel cell
图像识别:image recognition
云计算:cloud computing
网络安全:Cyber security
